epoch,binary_crossentropy,dice_coef,loss,val_binary_crossentropy,val_dice_coef,val_loss
85,4.184034824,0.065611951,0.065611951,4.076581955,0.117255889,0.117255889
86,4.217460155,0.06576895,0.06576895,3.975985289,0.116349123,0.116349123
87,4.185118198,0.065958641,0.065958641,4.083734035,0.118998632,0.118998632
88,4.218446255,0.065164,0.065164,4.065830231,0.117869422,0.117869422
89,4.186110973,0.065864146,0.065864146,4.050114632,0.117590107,0.117590107
90,4.209704399,0.065058045,0.065058045,4.041954517,0.116060816,0.116060816
91,4.211296558,0.065439261,0.065439261,4.017577171,0.11821606,0.11821606
92,4.215382576,0.064546913,0.064546913,4.005216599,0.119565584,0.119565584
93,4.232829094,0.063594557,0.063594557,4.04878521,0.113089085,0.113089085
94,4.260537148,0.062989421,0.062989421,4.036909103,0.119638003,0.119638003
95,4.25765276,0.063853517,0.063853517,4.047019482,0.116557695,0.116557695
96,4.269851208,0.063749433,0.063749433,4.048823357,0.111177996,0.111177996
97,4.274335861,0.063557625,0.063557625,4.061313152,0.113273069,0.113273069
98,4.262532711,0.06369485,0.06369485,4.05019474,0.116739333,0.116739333
99,4.277095795,0.062990025,0.062990025,4.034386158,0.114127517,0.114127517
0,4.263831139,0.062669165,0.062669165,4.106616497,0.117821753,0.117821753
1,4.268579483,0.062544398,0.062544398,4.065655708,0.110013247,0.110013247
2,4.263720036,0.062556207,0.062556207,4.140683651,0.112570986,0.112570986
3,4.28898859,0.06187601,0.06187601,4.098982811,0.117307737,0.117307737
4,4.280190468,0.06223071,0.06223071,4.091785431,0.118488625,0.118488625
5,4.272321701,0.06204547,0.06204547,4.199493885,0.116714403,0.116714403
6,4.282613277,0.06179373,0.06179373,4.170372009,0.115496293,0.115496293
7,4.328437328,0.061032638,0.061032638,4.058073521,0.117274061,0.117274061
8,4.294704437,0.061603285,0.061603285,4.138103008,0.11506702,0.11506702
9,4.306069851,0.060756035,0.060756035,4.146527767,0.110920869,0.110920869
10,4.324243546,0.060995337,0.060995337,4.096023083,0.113825127,0.113825127
11,4.303781509,0.061033081,0.061033081,4.052895546,0.115296707,0.115296707
12,4.330468655,0.060384154,0.060384154,4.255473614,0.111265615,0.111265615
13,4.344167709,0.06029848,0.06029848,4.175707817,0.109379932,0.109379932
14,4.350636005,0.059524793,0.059524793,4.166691303,0.114720032,0.114720032
15,4.351608753,0.05962595,0.05962595,4.181383133,0.113414168,0.113414168
16,4.362992764,0.060131393,0.060131393,4.141376495,0.11367248,0.11367248
17,4.35059309,0.05993434,0.05993434,4.120541573,0.11235299,0.11235299
18,4.373706818,0.060181327,0.060181327,4.077214241,0.11474482,0.11474482
19,4.368215084,0.059726834,0.059726834,4.255297661,0.109292805,0.109292805
20,4.340532303,0.05986774,0.05986774,4.124768257,0.110452533,0.110452533
21,4.384111404,0.059066817,0.059066817,4.111402035,0.112202838,0.112202838
22,4.377084255,0.058765814,0.058765814,4.250926971,0.111830555,0.111830555
23,4.378622532,0.059560943,0.059560943,4.186862946,0.111394212,0.111394212
24,4.363109112,0.05967351,0.05967351,4.186708927,0.112691283,0.112691283
25,4.382097244,0.059172004,0.059172004,4.181900978,0.111762464,0.111762464
26,4.406022549,0.057958122,0.057958122,4.225226879,0.116107784,0.116107784
27,4.411911964,0.057463989,0.057463989,4.236009598,0.109844208,0.109844208
28,4.427594662,0.058364347,0.058364347,4.239247799,0.111288175,0.111288175
29,4.419905663,0.057992879,0.057992879,4.150802135,0.113677643,0.113677643
30,4.411137104,0.057549771,0.057549771,4.159880161,0.118117571,0.118117571
31,4.416565418,0.057516441,0.057516441,4.298380852,0.11061883,0.11061883
32,4.407227039,0.057546444,0.057546444,4.262547493,0.107740261,0.107740261
33,4.430796623,0.05756966,0.05756966,4.208999634,0.116015151,0.116015151
34,4.437553406,0.057118807,0.057118807,4.189818382,0.112195291,0.112195291
35,4.418782234,0.05722259,0.05722259,4.286997795,0.113111101,0.113111101
36,4.45877552,0.056651726,0.056651726,4.160271645,0.116667904,0.116667904
37,4.455247402,0.057328597,0.057328597,4.249748707,0.113697901,0.113697901
38,4.452758312,0.056638956,0.056638956,4.23750782,0.109476067,0.109476067
39,4.467851162,0.05621843,0.05621843,4.277996063,0.1126891,0.1126891
40,4.465889454,0.056289628,0.056289628,4.26561451,0.10812147,0.10812147
41,4.473367691,0.055927061,0.055927061,4.178339481,0.109132186,0.109132186
42,4.490887642,0.056120869,0.056120869,4.258111,0.111429289,0.111429289
43,4.502939224,0.055533811,0.055533811,4.238978386,0.107159153,0.107159153
44,4.497692108,0.055590022,0.055590022,4.272980213,0.107251167,0.107251167
45,4.518866062,0.055056941,0.055056941,4.229463577,0.112227082,0.112227082
46,4.473258018,0.054871529,0.054871529,4.267151356,0.110856578,0.110856578
47,4.495039463,0.055427205,0.055427205,4.266779423,0.116359554,0.116359554
48,4.512643337,0.054591708,0.054591708,4.227732658,0.112988129,0.112988129
49,4.501492977,0.055260509,0.055260509,4.280124664,0.110419497,0.110419497
50,4.521157265,0.054467559,0.054467559,4.23803997,0.113195911,0.113195911
51,4.516169071,0.054891326,0.054891326,4.266077042,0.113221109,0.113221109
52,4.53177166,0.054718666,0.054718666,4.274495602,0.112763837,0.112763837
